单词,中文翻译,记忆方法
effluvia,（工厂排出的）垃圾，废料，废物,e=ex+flu流出，排出=垃圾
effluvial,恶臭的,effluvia很臭
effrontery,厚颜无耻=shamlessness,把脸放在前面，喜欢抛头露面，shameless，ex-ef相同
effusiveness,过分热情,
egoism,利己主义,ego-自己，egocentric，以自我为中心的
egotism,自大,
ejaculate,尖叫,"jac=ject=throw(可通过reject记忆),e表示向外的，声音扔出来"
electrocardiogram,心电图,electro，电；card心；diogram图
elimination,消除,把限制limit往外e丢
embargo,禁运令，禁令，禁商,有bar拦住去路go
emblematic,象征的，代表的,联想b不乐le马代表了什么
empathy,情感，同情=sympathy,em，en表加强+
emphasis,强调,
emphasizes,强调,
empirical,根据观察的或经验的,联想，能够em通过观察分析出价钱pirce
enamor,迷恋，着迷,en-to+amor=加强爱=迷恋，be enamored of 迷恋，特别喜爱
enchant,使陶醉,chant-唱圣歌，en加强，着迷
encomium,赞美,联想，为了en我i和u在一起con不断赞美
encountered,遭遇,
endorsement,背书/支持,联想，这人居然支持门后dor的色se男men
endow,（天生）赋予，天生赋予，捐赠,dow/don/dot=to give(donate)，en表示加强，加强
enfranchise,使自由解放，给予选举权,en-to，franch=French + ize
enmity,敌意,hostility，联想 enemy
enthrall,使着迷，迷惑,
equivocal,模棱两可的,equi-=equal相等的声音，声音很相近
erotic,挑逗的，引起人欲望的，色情的,来自于希腊神话中的爱神 Eros
errand,差事,run an errand 跑腿儿
errant,错误的，徘徊的，漫游的,词根err-1mistake-2wander/
erratic,无规律的,无规律地徘徊，乱溜达，同 irregular
erroneous,错误的,err-one-ous，一个错误还是错误
eschew,避开，远离；躲避，避讳,外出嚼口香糖；主要是宗教上，教会上的避讳
espouse,支持,e表示加强，spouse夫妻间相互支持
ethos,（团体的）气质，氛围，信仰等,
euphemism,委婉语,美好的声音，-sm
euphonious,悦耳的,eu-:好（优）
euthanasia,安乐死,
evoke,激起/唤起,"e-to,vok=vow=voice，喊出来=arouse ～ my interest in basketball"
exacerbate,恶化，变坏,ex表示加强-ate表示动词后缀，=变尖刻=恶化
exacerbated,加剧,
excavate,挖掘，出土,ex-向外，从cave里面弄出来
exemplar,典型,联想example
exigent,紧急地，急迫地,紧急ex出+ig-ag动
expansion,扩张,
exploiting,剥削；利用,
extent,程度,
extenuate,减轻（罪行）,ex加强，tenu=thin=薄瘦，使罪行变薄-减轻
extirpate,根除,ex拔除tired疲倦去趴pa
extrovert,外向，外向的人,与introvert一起记忆
facility ,设施,
factorization,因式分解,
fastidiousness,挑剔的，难以取悦的,fast-斋戒，斋节期间的人对吃很挑剔，breakfast打破斋戒
feasible,可行的,ible=able，feas=fac=fact元音和元音字母组合之间替换，s和c发生替换，a ～ plan
fell,下降,
ferrous,含铁的,Fe-铁
fertile,多产的（即可指农作物，也可以指思想/想法）,联想，fever很热烈的
fervent,热情的,
fervid,热情的,ardent同义词
fetter,束缚，脚镣,fet-feet + ter
fiend,恶魔，恶人,很像friend，有r->花的是朋友，没花的是恶魔
fiendish,恶毒的,
finicky,追求细节的，挑剔的,fin-fine：过于精细的
flagrant,臭名昭著的，明目张胆,“l”联想成掏粪的粪勺
flamboyant,炫耀的，浮夸的,火焰flame般的男孩爱炫耀
flay,去皮，剥皮，严厉批评,"flay a dog,flay the animal"
fleece,诈取，多收钱财,骗了钱以后就flee（离开）
fluctuate,波动，浮动,fluc-由波浪的形状联想，go up and down
flummery,假恭维,联想，假心心地拿着花fl来纪念memory你u
flush,脸红，冲水,blush
flux,时代变迁,
forgo,放弃美好的事物,for-之前，在之前走，先走一步表示放弃，forgo the earthly pleasure，放弃世俗的快乐
forsake,放弃（forsook，forsaken）,for the sake of 出于 …… 原因，为了某种原因而放弃
forswear,宣誓放弃,for放弃swear宣誓
fortify,加强,源自force
fortuitous,偶然,联想，it走for之前居然还能偶遇ou你u
fragrant,芳香的,r联想成一朵花
frenzied,丧心病狂,联想，这人疯了一直冻freeze着
frigid,冷漠的，冷的，冷淡的，性冷淡的,freeze冷冻，fridge 冰箱，It's frigid today.
fringe,边缘，刘海,美语用bang，反：center，b-f/k-g 发生通假
frustrated,沮丧的,联想，上街st了之后发现水果fruit涨价了rate很沮丧
fumble,摸索，翻寻,f-feel，f-翻寻
fungible,可替代的,联想，可以换其他基友gi一起玩fun
gabble,急速不清的说,speak unclearly and quickly
gallant,英勇的，骁勇善战,gall=胆汁，球是ball，胆是gall，胆大的
gambol,嬉戏，雀跃,来自game
gaunt,憔悴的，骨瘦如柴的,考GRE的姑姑很憔悴
gluttony,饕餮,七宗罪，中间是一吨的
grabble,夺取,
grandiose,宏伟壮观的；妄自尊大的,联想，dio迪欧很自大
gravity,稳重,
Greed,贪婪,七宗罪
gregariousness,合群,
grim,阴森恐怖的，严厉的（常指建筑物的阴森恐怖）,鬼G在前边rim真恐怖
guileless,正直的，诚实的,联想 guilt
gush,液体的涌出,gu拼音鼓出，gusher喷油井
harbingers,预兆,联想，能够猜出bingo的
herbivore,食草动物,herb-grass，vor-eat
hesitancy,不愿,联想，让他he坐sit坦克tan还不愿意
hierarchy,等级制度,hier-higher+archy-to rule(anarchy)更高层的统治
humble,谦虚的，卑微的,hum-hum 做人谦卑
hush,安静，小声,hush-hush 偷偷摸摸，鬼鬼祟祟，h-呼吸，安静
hydrophobia,狂犬病,恐水症
idiosyncratic,独特的,谐音idio想法idea很有syn同步创新crative性的
illuminated,阐明,
illustrates,说明,
impartiality,公正,
impediments,障碍,
imperceptibly,不知不觉中,im否定，per提前cap捕获，没法提前捕知道的
implacable,不能安抚的，毫不妥协的,
implemented,实施的,
impregnable,坚不可摧,im否定pre前面，联想，不能im在你面前pre发动攻势gn的
improvisation,即兴创作,vis看，pro提前，im+否定，没有提前看的
improvise,即兴创作,-vis 表示看 visible 可视的，例如 visit-vis: see，it: to go（边走边看），im 表示否定，impossible，不用提前看的
inane,无意义的，空洞的,in-否定，bane/wane/sane/arcane/inane，禁止做的是灾祸，弯下来的是减弱，三省吾身很清醒，弧形开头是秘密，变成in无意义
inapt,不合适的,
incapacity,无能力,联想：in否定cap抓，没法抓住的
incentive,刺激，激励,in表示里面，cent=cant=sing把力量唱到歌里-激励
incongruous,不协调,联想：gru格鲁in跟我们con一起的时候感觉格格不入
inconsequential,无关紧要的,联想：in没有按照sequence顺序con排列无所谓
inconsistent,不一致的,
incursion,侵入；侵犯,联想-随意进in出cu俄罗斯rs
indifferent,冷漠,
indispensable,不可缺少的,
indisputable,不容置疑的,
inept,无能的,ept=expert专家，in-否定
inerrancy,准确无误，准确,in表示否定，“不+错“
infant,婴儿,联想：婴儿刚出生in不能吹风扇fan
inferable,可推断的,infer-推断+able可
infringe,侵犯，违反,进入in边缘fringe，走进界限
ingress,进入,
innovative,创新的,in-加强nov新颖
insidious,阴险的，暗中危害的,in+sid+ious，坐在暗处的人
insouciance,无忧无虑，不操心,联想：cia可以从sou南边进入in不用担心被发现
instinct,本能,in-加强+stinct本能
insurmountable,不能战胜的,surmount:sur-on，mount-骑，sourmount=征服
intensification,集约化,联想：把四种财政fi都收归in十个ten人手中
intimate,亲密的,联想：享受in这一亲密的时刻tim
intransigence,不妥协,联想：in不接受往trans死里si干活gen
intransigent,不妥协的，固执的,联想：in不接受往trans死里si干活gen
intrepid,勇敢的,trepid，trep=tremble，发抖的-胆小的
introvert,内向,与extrovert一起记忆
intuitive,直觉,联想：直觉告诉他t和你u要往里in走it
invalidated,使无效,
invention,发展,联想：invent发明带来了发展
inverse,反面,与obverse一起记忆
invert,使倒转，使倒置，使颠倒,in-从里面vert转过来
investigation,调查,invest投资之前得先走ig调查流程
invoke,恳求,"in-加强,vok=vow=voice，加强向一个人喊"
irascible,易怒的,i-to+rasc来自erase摩擦，能跟他人产生摩擦的
irksome,讨厌,联想：容易irascible对某人some生气->讨厌他
itinerant,巡回的，游历的,it-go + iner-inner + ant，在一个范围内部走来走去-巡回的
jar,使……不安或冲突,联想：jar马上就变成war了，很不安
jejune,无聊的,联想：无聊的六月
jumble,混乱，混合,jum-jam阻塞造成混乱
keen,对……感兴趣的；犀利的，尖刻的；聪明的，敏锐的,谐音：能当上king的都是很聪明的
kindle,点燃,candle
knotty,复杂的,联想：kno知道他t很复杂
levity,轻浮，草率,lev=飞起来的人很轻浮
levy,征收（税等）,升起税-征税，levy tax on
lewd,下流的，好色的,谐音：露的，与lust同源
libel,书面文字上的诽谤,label 标签，文革“贴上罪名诋毁”
libertine,放纵的人,同源liberty，生活极度自由
liverish,易怒的,liver：肝，肝不好，肝火旺->爱急眼
loathe,痛恨,loath，憎恶的，形近词：lathe 车床
lobster,龙虾,龙虾坐在垫子上
lurk,潜伏，埋伏,"来自lower+k相当于lowerk，u,v,w通假可去掉元音lwrk--lurk"
lush,繁盛的，繁茂的,lux=thriving
Lust,色欲，色戒,七宗罪
lynch,处以私刑,读音很像凌迟
magisterial,权威的,联想：能够神奇地magic控制整条大街st，肯定是很有权威的人
malady,疾病,词中有“lady”，联想作“坏女人”
malediction,诅咒,联想：male-坏dict说，说坏话->诅咒
malefactor,罪犯,male-:evil
malevolent,恶意的,联想：male-恶意的说vol
malice,恶毒，恶意,malicious adj
malign,诽谤/恶性的,mali=male=诽谤的
malignant,恶性的,malignant tumor恶性肿瘤
manifest,显现,联想：mani-突出的东西在fest节日里显现了出来
manipulating,操纵,联想：要把这个突出mani的东西拉过来pul让我们能够操纵
marginal,边缘/微不足道,联想：想进入in火星mar的边缘
masquerade,伪装，假面舞会，化妆舞会,masqu=mask+er+（ade表示集合）
massacre,大屠杀,mass-大量，acre英亩，在一亩地种杀死
mastoc,吉祥物,戴面具的小动物，源自mask
mediator ,调解员,联想：媒体media的人要负责协调两边关系
meekness,温柔,联想：要温柔地对待你遇见mee的人
milk,牛奶，挤奶，榨取，勒索，欺骗,把所有东西都榨干
mingle,交织，混合,le表示动作的反复 ming=mix
minor,次要的,反义词：cardinal，源自min
miscellaneous,混杂的，各种各样的,mis=mix+cell细胞+aneous混杂的各种各样的细胞
mount,1骑上，登上；2增加（increase）,mount a horse，数字的攀升，mountain
mumble,私下抱歉，喃喃自语,妈妈m-mum嘟囔
muster,鼓起勇气，召集,muster up courage，=convoke，《must + er》
nation,国家,
neuralgia,神经疼,neur-nerve
nihilism,虚无主义,nihilist虚无主义者
nocturnal,夜晚的，夜的,noct-来自night，nocturnal activities
nostalgia,思乡，怀旧,nost-nest，想到自己的家心里就疼，或者用谐音，那是他家；algia-疼痛
notable,值得注意的,note-注意
notation,符号,note-笔记
notion,见解想法,
notoriety,恶名,被标注note出来日ri的人
notorious,臭名昭著的同flagrant,noted a.显著的
novel,新颖的,来自new
nullify,废除,使变为一纸空文
obeisance,尊敬，敬意,联想：对这个值得尊敬的人san很服从obey
obliged,有义务的,联想：有义务不让你ge哥进来里面li
obscene,淫秽下流的,不堪入目的场景，ob-相反，～ magazines
obsessive,痴迷,联想：众人都反对ob这种色se咪咪ss的表情
obverse,正面,与inverse一起记忆
occasionally,偶尔,联想，偶尔也会遇到这种场合occasion
offish,冷漠的，冷淡的,联想：钓完鱼就很冷漠了
ominous,凶兆的，不吉祥的,omin-omen
omnivore,杂食,omni-表示all，vor-eat
opaque,不透明的，晦涩的，难懂,op=ob=1加强2相反opposite，不像水那样->不透明
opprobrium,辱骂,联想：在你面前pro通过辱骂不断搞分歧br的
optimism,乐观,
ordinance,法令，法规,in->国家内部，在里面有命令 order
ordnance,大炮，军械,联想：对外用大炮施加命令
overlooked,被忽视,
overshadowed,黯然失色,
overt,明显的，臭名昭著的,covert反义词
overwhelmed,不知所措,联想：轮子whel完了over没了me不知道要怎么办了
pamper,溺爱（spoil）,单音节p与手掌palm有关，捧在手里去爱；近义词：dote
panegyric,赞文、赞美,联想：写一篇文章来赞美这个pan平底锅煮鸡蛋eg的能力
paramount,（登到山顶上）至高无上的，最重要的（派拉蒙电影公司）,para-表above“在上面”，联想paradise
partiality,偏袒,注意这里没有 im 前缀
particular,挑剔的,尤其特别的，熟词辟义，多强调对于食物的挑剔
partisan,党羽，游击队员,和party党有关的人
pastiche,【贬】模仿作品；混合物,联想：拙劣地模仿过去past的车车
peevish,易怒的,peeve-pervert 变态的特征，爱发怒
perch,鸟类栖息；位于高处,peak 在最顶端栖息，perch on
perfervid,十分热情的,同源fever发烧
peripatetic,巡游的,per-一直把各种ip都看来看去巡游的
perishable,易消亡的，短暂的,联想：每次发现就马上sha掉，一直per在干这种事，所以所有东西都很短暂就消亡了
perjure,作伪证，perjury,per-away+jure-swear 背离誓言
pertain,属于，关于,per=through，pertinent
pertinent,相关的=relevant,pertain 变形
peruse,仔细读，精读,per-through+use=一直用一本书-精读 peruse a book
perverse,不合情理的，不合适的,联想：一直per在反面verse肯定不合适
pervert,曲解，误传，变态,per=through 一直在改变
pestilence,瘟疫,前面是pest害虫->拍死它+il-ill+ence害虫所引发的疾病
philosophy,哲学,philo-爱，soph-智慧，爱智慧即哲学
phonograph,留声机,graph写，phone声音
phony,假的，骗人的,phone只听到声音的话就是假的
pivotal,关键,联想：pi的这一投票vot很关键
plausibility,似乎有理，能言善辩,联想：有这个能力bility去忽悠pian我们us
plucky,勇敢的,pluck采摘/勇气，联想lucky
plush,豪华的,同源lux，拼音p想成漂l联想亮的
polemical,争论的,联系：极端pole到小米mi都过来喊cal了，太具有争议性了
pore,毛孔,pore over sth=精读=peruse
pornographic,色情的,porn 黄片-pore 毛孔，～ industry 色情产业
porous,有孔的，透气的,
precarious,不安全的，不牢靠的，不稳固的，危险的（同义词：dangerous）,pre之前-car+ious车（car）前面很危险
precariously,岌岌可危,
precipice,悬崖,pre-前缀，cap->cip，什么什么头，陆地走到最前头，cip是cap的高频变体
precipitous,陡峭的，险峻的,precipice变词性
preside,1掌管2主持,pre-坐在前面的，preside over，president 总统，主席；大学校长，董事长
presumed,假定,联想 assume
presumptive,推定的,联想 assume
prim,呆板的，古板的,联想 primary 最初的
probe,查明，探索（into）,来自prove
proclivity,倾向 tendency,pro-foreword + bent + ity = tendency = inclination
profane,亵渎,谐音：泼粪
profess,宣称,
propaganda,政治宣传,联想：在台上宣称他敢打
prophetic,预言,prophet预言家
protagonist,小说，戏剧中的主人公,stand-in替身，extra群众演员，临时演员，跑龙套的人；联想：站在ta面前pro反对against邪恶的主人公
providential,天意,联想：上天tia提供provide
provincial,眼光狭隘的；乡下的,联想：眼睛看到vi面前pro的只有刺ci，眼光狭隘看不到其他东西
provoke,激怒，激起,在一个人面前大喊
putative,公认的，假定的,联想：put放下来这个假设后就开始说说说
pyre,柴火，火葬用的柴火,来自 fire
quiescent,静止的，quiescence 静止，反义：motion,qui-:quiet
quittance,赦免，释放,acquit，宣判无罪
rabble,暴民,rab-rob，打砸抢烧的人
reaffirmed,重申,
rebate,退还款,re-back 打回你的卡里
recant,撤回声明；放弃信仰,re-back，唱反调，改变论调，放弃信仰
recapitulate,重述要点，摘要,re-again 重抓一遍
recline,倚靠，斜躺,re-表示向后，身体向后弯
regard,尊重,
regress,后退，退步，倒退,re-back，-gress-走，to go，pregress 表示进步；gress=go(progress)
reimburse,报销，偿还,re-：back，return 钱重新回到钱包
reincarnate,使化身，使转世，使再生,re-再次，in-向里，再一次注入肉体carn
reinforce,加强,
reinventing,重塑,re-再一次invent发明创造，重塑重构这个东西
reiterates,重申（重复/模仿）,re-再一次it走同样的流程
relentlessly,无情地,re+lent+less，relent能够反复借给你东西，less不能反复借，无情
relinquish,放弃，勉强地放弃,re+link+ish作为动词
remorseful,懊悔的,re-再一次mo没有rose玫瑰，老是没玫瑰很懊悔
renounce,放弃（和 announce 同源）；宣布放弃,re-back(retire) + announce；（放弃权利或放弃信仰）
renovate,翻新,-nov=new，re+new，再一次变得新
repetitious,重复的,repeat
replicating,复制,用来replace的东西
reprobate,恶棍，谴责，反对,re-against反+prob（probity）+ate不正直的人-恶棍；联想：re反复在你面前pro打你bat
requite,报答,同：reward，re-back+quit(free)释放之后回来-报答
rescind,废除，取消,scind-联想 scissors剪掉，剪断，加强剪断->废除
resent,痛恨，憎恨,反（re）感（-sent）
resist,抵抗,反义词：capitulate
restive,不服管理的；不安的，没有耐心的；,re-否定st站着，不愿意听你的话一直站着
reticence,沉默寡言,reticent沉默的
reverence,尊敬,联想：第一个过河river的人ren很厉害值得我们尊敬
reverse,颠倒的，倒车,re-再一次vers=vern转动
revert,回到原来的话题,转回来，往回转
revile,辱骂，诽谤侮辱	,re再一次-加强+vile恶毒的->evil=恶言对待
revitalize,使……复活,复活他使他re再一次能够vi看和tall说的
revoke,收回，取消,"re-back,vok=vow=voice，喊回来"
rhetorical,修辞的,联想，这个修辞能够形容he他很像人or
riddle,难题，谜题,联想，想r认出这个id很难
ridicule,嘲笑，耻笑,联想，嘲笑他很ridiculous
rim,圆形物体的边缘,rim-ring
roost,栖息,联想，在根root处站着st栖息
ruthless,残忍的，无情的,ruth，怜悯，同情
sane,神志清醒的，理智的,源于 sound，反：insane，疯了
sardonic,嘲讽的，讥笑的,谐音：嘲笑他是傻sar东西don
scornful,轻蔑的,联想，轻蔑地嘲笑他只是s块肉泥corn
scratch,抓,用scr手抓catch
scroll,卷轴,"scr,cr多和手上的动作有关（注意，s在造词的时候无意义，只起到加强语气的作用）"
sector,部门,
sedentary,久坐的,保持长时间坐姿
sediment,沉淀物,坐下来的东西
sedulous,勤奋的，孜孜不倦的，聚精会神的,
seethe,激起，沸腾,see+the 看到冠词很激动
sentimental,感伤的，多愁善感的,sentiment，感伤，sent来自sense
shackle,阻碍,联想，杀sha掉这个阻碍的ac射手
sham,假,联想，看到这个假东西尴尬shame得眼睛e都没了
shaped,塑造,
shelter,避难所，保护,来自 shelt-shell 贝壳 + er -> 保护
shelve,倾斜；搁置，暂不考虑,1，来自shelf——放杂志的架子倾斜；2讲东西放在桌子上，反义词是consider
shield,盾牌，保护,同样来自 shell e-ie 发声通假变化
simulate,模仿,
simultaneous,同时的，同步的,
singularity,突出,联想，这个很突出的人天天说着辛苦啦singular
sinister,险恶,联想，光是站着st就让人觉得很邪恶sin
skeptic,怀疑论者,
skew,曲解，歪曲,联想askew
slander,口头上的诋毁诽谤,与 scandal 同源；谐音：死懒的
slaughter,残杀，屠宰；大屠杀,联想laughter，笑死s了，slay
slay,杀死，slew，slain,sl和slip有关，被杀死以后滑到的动作，或用谐音“死嘞”，同源：slaughter
slender,苗条,联想，腿很长len，身材很苗条
sloth,懒惰,相当于 slow+th
smother,闷死，使窒息,来自smoke，联想：武则天闷死女儿s+mother
sojourn,暂住,有了住的地方所以so可以去旅行
solitary,单独的,
soothe,安抚，使平息,~ the crying baby
sophism,诡辩术，似是而非的理论,soph=wisdom
sophisticated,精明的，老于世故的，（仪器）精密复杂的,一个人智慧过多，联想，这精明的人站着st看上去就很会诡辩sophism
spartan,有节制的，节欲的,斯巴达人节制的性格特点
specious,似是而非的,spec看着很像真的
spew,呕吐,sp表示发散；产生
spray,水沫，喷雾，喷雾器，喷射，喷,sp表示发散；产生
spread,传播，扩展,sp表示发散；产生
sprout,发芽,spout 喷出，一朵花”r”发芽
squabble,争论，争吵（小吵），发生口角,s-无意义，quabble联想quarrel
stabilizing,稳定,stable稳定
sterling,高质量的,联想，st站着的那个零ling质量很高
stigma,耻辱(disgrace),同disgrace，stig+ma（妈妈），宋朝往脸上刻字，stigmatic
strangle,吊死，扼死,来自string，string琴弦/细绳
stumble,踉跄，跌跌撞撞,st-站，站不稳
stun,震惊，使震惊,stun-stin=被人扎了一下，吓一跳，stunning news 令人震惊的新闻
subjacent,底层的，底下的,
subside,平静，减轻,坐下来，心情平复下来
subversive,颠覆性的,
subvert,颠覆,sub-底下、底层发生转变
sunder,分开，裂开,thunder 打雷，用雷劈开
superficiality,表面，浅薄,联想，super在上面，fici=face脸，表面上
superfluous,过量的，过剩的,super：1超级2on3more than过多，流得过多
supersede,代替，取代,super-on，sed=sit，坐到一个人头上，淘汰他
surmount,征服,sur-1on在上面2more多，此处表示“骑在上面”；
susceptible,易受影响的,联想，such如此accept容易接受的，易受影响的
sweetness,甜美,
swindle,欺诈,swindler 骗子
sympathy,同情,
symphony,交响乐,同时响起的声音
temperance,节制,联想，temp临时ran运动一下就好不要太激烈要节制
tenuous,薄的,tenuous evidence，不足的证据，The air is very ～ 空气非常稀薄
terrific,了不起,
theorize,理论化,
thrall,奴役，束缚,thr-3三个人都被绑在一起被束缚了，源自slave
thralldom,奴役，束缚,反义词：freedom
tractable,易管理的，易控制的,
transparent,透明的,
traverse,穿过，横穿,trans-表示穿过，从一边改变到另一边
trifling,琐碎,联想，跟树叶tree一样飞来飞去fly的，很琐碎的感觉
trim,修建，整洁整齐的,tree树在前边rim是修剪
trivial,琐碎的,跟树叶tree一样看着vi就很琐碎
truculent,好争斗的；言语刻薄的,联想，喜欢cue你骂你的
truncate,缩短,联想，缩短成猫一样短的
tumble,跌下跌到，（数字）暴跌,联想，t跳了再jump跳，跳得很低
tumultuous,喧嚣,很多mul牛在那里tutu撞来撞去很喧嚣的样子
typically,通常,
unappealing,没有吸引力的,un否定appeal上诉，没有上诉的吸引力
underlay,垫起，铺在底下,
undiminished,不减,
undisguised,毫不掩饰,联想，un躺在这个dis家伙guy下面
undoing,撤回,
unprincipled,没有原则的,
unqualified,不合格的,
unsettle,扰乱,
unwieldy,体积庞大而笨重的,
variety,种类,
venerable,可敬,联想，ven这个人er很可敬
veracious,真实的,"词根ver,veri表示true，veracity n."
verge,边缘,on the verge of 濒临……的边缘
verisimilar,逼真的，栩栩如生的,very-:true
versatile,多才多艺的，（事物）多功能的,vers-turn-ile表示易于...的，易于本领变化
vertex,顶点（数学）,与vortex一起记
vertigo,晕眩,边走边转
vexation,烦恼,
vexing,恼火,
vilify,诽谤,-ify动词后缀，联想，诽谤说看见vi他生病了ill
vocal,声音的，发声的,
vocalist,歌唱家,
vocalize,发声，说话,
vociferous,吵吵嚷嚷的，喧闹的，吵闹的,fer-=carry带来了声音
volcano,火山,
voluable,健谈的，话多的,vol声able很多，很会说话的
voracious,贪吃的 -acious表示多,vor-eat，divorce
vortex,漩涡，事情论战的中心,与vertex一起记
wages,工资,
waive,放弃,联想，啥都wait等待，等着等着就放弃了
wane,月缺，衰退，减少,拼音wan弯，反义词：wax增加，月圆，蜡
warble,低吟浅唱,联想，打仗了war在那小声唱歌
warranted,证明；保证,
waspish,脾气坏的,wasp黄蜂，马蜂，像蜜蜂一样
waylay,潜伏，伏击,
welter,杂乱的,联想，这个人自以为收拾得well其实很terriable杂乱的
wig,假发,联想，带着假发变扭wr边走ig
willingness,乐意,
wrangle,口角，长时间的争吵,wr+angle-角，“口角”
wrath,暴怒,谐音，老虎暴怒的时候会喊一声wra
wreak,生气，发怒，发泄怒火,
wrench,扭夺,联想，一边扭wr一边抢catch
wrestling,摔跤,
