单词,中文翻译,记忆方法
renegade,叛教者，背叛者，叛徒,反过来re否定neg自己人==叛徒
apostate,背道者（叛徒），背叛者，叛教者,apo-ab-away+state=背离国家，也可以联想：apologize对不起祖国；联想，说反了
traitor,叛徒,
nexus,连结，联系,nex-=nect-=connect，us结尾的大部分都是名词
annex,吞并，兼并,an-to强连接——吞并
noctilucent,夜光的，夜明的,luc-=light
nonchalance,冷淡,a. nonchalant（~=aloof/frigid/apathetic）；non-表否定，chalance看成chance，“不给你机会的人”是冷漠无情的；源：calorie n.（热量）
impassive,冷漠的,im-not 没有热情的passion
phlegmatic,冷漠的,phlegm n. 痰，表示对一个人唾弃的感觉；联想：phleg-flag 表示衰退，情感退去
nondescript,无可名状的，难以区别的，无特征的,scribe/script=to write(describe)，non（难以）describe（描述）的
inscribe,题字，题写,in-on，写在上面；联想：写在里面
prescribe,开药方；规定,pre-before，先写下来-规定药方
ascribe,归因于……to,a-to+scribe=记一笔，记一功；~ A to B，A是果B是因；谐音，kuibi，归比
subscribe,订购，捐献，赞同,在下面写上名字确认 —— 赞同
transcribe,抄写，誊写,trans-across从一边写到了另一边
proscribe,禁止,pro=1before;2forward，向前，“前方公告牌写明”->禁止
permit,允许,
circumscribe,限制,circum绕圈，圈起来写，把xx圈起来很限制的感觉
nonplus,使困惑,plus=ply=叠加，无法加上QQ
mystify,困惑,同源：mysterious
demystify,阐明,de-反义，使不困惑->阐明
confound,使糊涂，迷惑,同源 confuse
surplus,过剩（的），盈余,sur-1surface表面;2more，plus-加，多加了很多
trade surplus,贸易盈余,
trade deficit,贸易赤字,联想：deficient
nonporous,不透气的,<来自 pore 毛孔>
nonesuch,无可匹敌的，无与伦比的,没有non这样的such，忒好了（褒义）
nonpareil,无可匹敌的，无与伦比的,non+pare（来自compare），没有能与之比较的
matchless,无可匹敌的，无与伦比的,
nonentity,不重要的人或事,non+entity
entity ,实体,同源 entire，完整的东西
novice,新手，初学者,来自 nov=new，-ice 表示名词后缀
veteran,老兵、老手,
tyro,新手,谐音：太柔——新人
noxious,有害的,nox/noc-=harm(innocent，in-否定，noc-害处的，没有害处的)
nocuous,有害的,nox/noc-=harm
obnoxious,令人讨厌的,ob-加强+noxious
pernicious,有害的,nic=noc=harm，per表示through，一直有害的
internecine,互相残杀的，内讧的,inter-between，nec=noc，相互之间带来坏处
noisome,恶臭的fetid；令人讨厌的；有害的,联想：noisy，噪音是有害的/讨厌的
numb,（情感或者肢体）麻木的,联想：number 对于数字已经麻木了
numbness,麻木,
dumb,哑巴的，愚蠢的,dumb bell 哑铃
dumbfound,惊呆,dumb 哑巴，found 发现，发现的时候变成哑巴了，很惊呆说不出话了
oblivious,遗忘的，忘却的,"be ~ of，<ob-against,liv=life，没有生命力的所以被人遗忘>"
oblivion,（时间上）湮没，忘却,fall into ~ 被遗忘
obsequious,谄媚的，奉承的,"sequ/secu=follow, (consequence后果，紧跟其来)"
sequel,续篇，续集,sequ-=follow
persecute,迫害,per-through，sec-尾随，一直跟踪你尾随其后找机会下手——迫害
prosecute,上述，控告,
consecutive,连续的,跟(secu)在一起（con）；~ interpreter 交传；simultaneous interpreter 同传；
obstreperous,喧嚣的；任性的,ob表示加强，联想 stre-street 街上吵闹
rowdy,喧闹的,row 争吵，联想：两个人抢座row最后吵起来了
roar,呼啸,也是喧闹的一个状态
offhand,即时的，无准备的，即兴的,不用任何帮手的，不用帮助，远离帮助
off-key,跑调,off-远离，key-调
offspring,子孙后代,spring萌芽
opportune,凑巧的，适宜的,联想 opportunity，机会来得早不如来得巧
inconvenient,不方便,
apposite,适当的,与 opposite 相反
apropos,恰当的,appropriate同源
orthodox,（思想）正统的，传统的,ortho-right，dox-opinion
traditional,（习俗，行为）传统的,
conventional,传统的,过去的传统，现在可能不这么做了；谐音，vention文天祥时期就有的
orthodontics,畸齿矫正学,同源dentist（牙医）
orthography,正确拼法,-graph 表示写
heterodox,异端邪说的，非正统的,hetero-表示不同，不同的观点(dox-=option)
paradox,悖论，自相矛盾,para-:1在上面paramount；2旁边；3相反，相反的观点
paradoxical,自相矛盾的,
outlet,出口，出路,let=小，out表示出，可以表示出口也可以表示情感的发泄口
rivulet,小溪,river+let
droplet,小水滴,drop+let
amulet,护身符,am-love，爱慕，爱护你的小东西let是护身符
outset,开始，开端,~=set out to do，着手做某事
onset,攻击，开始,~=set on 攻击；一般表示不太好的事情的开始
outlay,费用,~=lay out花销花费
outlandish,新奇的，奇怪的,out-=1外面2过多，land大陆以外out，很新奇
outfox,智胜,
outwit,以机智胜过,
outrage,暴怒，暴行,来自rage（暴怒，大怒）
outrageous,暴怒的，发怒的,outrage变体
fury,暴怒,来自 fire；联想：fur，毛发竖立
infuriate,激怒,in-加强+ate，使……发怒(fur)
overbearing,傲慢的，专横的,~=haughty=arrogant；bearing=behavior，over- 上面，高高在上的行为举止是傲慢无礼的
arrogant,傲慢的,
overhaul,彻底检查，大修,haul（拖，拉），“往上拖”->在4S店大修要拉起来
overturn,推翻，颠覆,over:1在上面;2more than;3turn翻转；
overthrow,推翻，颠覆,~ the government
overstate,夸张，言过其实,state-陈述，over-过高，说的有点忒过了
understate,描述不充分，轻描淡写,under:1在下面；2less than
oversee,监督,over-在上面看着你
oversight,忽视，忽略,~=overlook
supervise,监督,
overwrought,紧张过度的,over：过于....，wr扭曲，过于扭曲的，过于紧张的
overture,前奏，序曲,ture-tune（调）
override,藐视，违抗，破坏，蹂躏,rid-表示笑（rid=ris=laugh，如ridiculous），在上面笑，表示蔑视；ride-骑车，骑在草坪上，蹂躏、破坏
ridiculous,荒谬的,rid=ris=laugh
deride,嘲笑,de-加强，rid-laugh，联想：从车上掉下来；
derisive,蔑视的，嘲笑的,deride 变形
risible,爱笑的，滑稽的,ible-能，ris=laugh
2022-07-25 学习,,
palatable,美味的=delicious,联想：plate table 桌上的食物，盘子里装了一堆美味佳肴
palate,上颚，味觉,
cleft,裂缝,cleft palate 唇裂，联想，从left左边切c出一条缝
luscious,美味的,lust，让人很有欲望的感觉，很想吃
succulent,美味而多汁的,源自 suck
delicacy,美食,与delicious同源
paranoia,偏执狂，多疑症（疑心的）,para-=1above;2against;3旁边/辅助的；
paranoid,多疑的，偏执的，偏执的人,para+noid-mind，有辅助的想法，其他的想法
paradigm,范例，典范,dig=dict，在旁边不断指引你的
paragon,范例，典范,联想：走go在你上面para的
parasite,寄生虫，靠他人为生的人,总坐在别人旁边的人
paraphrase,解释，释义,phrase 短语，在旁边写短语 —— 解释
dubious,多疑的,来自 doubt
skepticism,怀疑，多疑主义,同源 skeptical
parsimonious,吝啬的,联想：par怕si死的Simon很吝啬；源自 spare 节约
spare,空闲的；备用的；节约,～ time
parsimony,吝啬,pa怕si失去money的是“吝啬”
stingy,吝啬的,源自 sting；见谁就盯谁，跟谁去吃一顿
niggardly,吝啬的,
niggard,吝啬鬼,nig联想成neg，消极鬼，小气鬼，对花钱很消极的
miser,吝啬鬼,mis-hate，令人痛恨的人
miserly,吝啬的,同源 miser
frugal,节俭的,不浪费，谐音：早上吃一块“腐乳够了”
thrifty,节约的,thrift（节约）-thrive（繁荣）
economical,经济的，节约的,
sparing,节省的,来自 spare，表示省钱
pedestal,机座，底座，底架,ped-foot，“pede”站stal在脚下的（pedal脚蹬子、踏板）
pedal,脚蹬子、踏板,gas pedal，油门
impede,阻碍,im-into，往里伸脚绊人是阻碍
expedite,加速,ex-out+ped（脚），走出去 —— 促进
expedient,权宜的，有用的，权宜之策,加速你做事的，权宜之计，有用的
pedestrian,行人，乏味的，无聊的,ped+stri-street+ian，天天在马路上溜达的人
peddle,兜售，沿街叫卖,e=易，容易e兜售
paddle,划船，涉水，浆,pa=怕坐船，怕pa涉水
tripod,三脚架,
expedition,远征，探险,ex-外，ped-脚
centipede,蜈蚣,centi-100只脚ped是蜈蚣
podiatry,足病学,pod=ped=脚
manufacture,生产,manu=hand
manual,使用手册,manu=hand
manicure,修指甲,cure=治愈治疗，manu=hand
pedicure,修脚,cure=治愈治疗，ped=脚
emancipate,解放,e-out+man-hand+cip-catch+ate，将抓住的双手放开 —— 解放
manipulate,操纵,mani-hand+pul-pull+ate，用手拉动
maneuver,操纵，策划，军事演习,maneuver the car驱车移动；maneu-manual手，ver-vert转，用手转动；on maneuver 军事演习
manacle,手铐、束缚,mana-手，-cle小的名词后缀，在手上的小东西
pediatrics,小儿科[医],ped-=1脚；2孩子
pediatrician,儿科医生,
pedant,腐儒，卖弄学问之人,ped=孩子，像小孩一样的读书人，学一点知识马上就会显摆
pedantic,迂腐的，爱卖弄学问的，卖弄知识的,源自pedant
pedigree,血统，家谱,ped=孩子，孩子下面还有孩子，gree-=grow，一代一代生孩子
pedagogue,老师,gogue: leader，领导孩子ped
demagogue,煽动者,demo-人民，gogue:leader，领导人民的人
orthopedics,整形手术,ortho-正确的，ped-小孩，从小孩子的时候就把他矫正过来，整形
encyclopedia,百科全书,en-加强，cyclo周期/循环，ped孩子，从小到大都看的
peer,同龄人，凝视,源自 pair: par-equity
peerless,无与伦比的,没有东西跟他相等par-equity的
parity,相等，对等,par-equity
disparage,贬低，贬损,dis-not+par+age，不公正对待一个人——贬低
penitent,悔过的，后悔的,pen/pun-=punish，惩罚自己
penalty,处罚，罚点球,pen/pun=punish
penalize,惩罚,pen/pun=punish
impunity,免罪，免罚,im-否定，pun-惩罚，不惩罚
repent,后悔，忏悔,regret，re-表示反过来，反过来惩罚自己
penance,自我惩罚,pen=punish
remorse,悔恨，懊悔,参考：repent，反过来咬自己，morse-(mouth)=bite
percolate,过滤,per-表示through，col=drain表示排水
colander,过滤器，漏勺,col=drain表示排水
filter,过滤，过滤器,联想：fill充满了所以要过滤
perforate,打洞，穿孔,per-through，for-为了一个目的而穿过是打洞
drill,钻头；操练；钻（孔）,与train同源
bore,使厌烦，挖（洞）,
pierce,刺破，刺穿,have my ears pierced 扎耳洞；pin-针
puncture,刺，扎，刺穿；削弱，使……无效,pin-针；punctured tyre扎胎
stab,刺，戳,~ sb to death，将某人刺死；源自 staple 钉
staple,订书钉，钉,stable-稳定，把东西钉住之后东西就稳定了
spike,刺穿,和 spear 长矛同源
impale,刺穿,im-in向里，pale-pole-杆子，棍子；pole dancing 钢管舞
perfunctory,敷衍的，潦草的，不认真的；不走心的，敷衍草率的,per-:away，funct-=function 功能，“擅离职守远离功能”->敷衍
defunct,死的=dead,de-反向off，没有功能funct，=demise
dysfunction,人体机能失调,dys-=die，“功能坏死”->机能的失调
malfunction,（机器的）故障,mal-坏，功能funct坏掉了
perspicacious,独具慧眼的,per-through 后缀-acious，表示多，spic-:看，看得多的人，独具慧眼
perspicuous,清楚地，明白的,spic/spect-=vis/vid=see；per-一直，一直在看spic就看清楚了
conspicuous,显著的，杰出的,一起con看spic你因为很显眼——显著
circumspect,小心的，谨慎的,circum-四周，过马路往四周小心看一下
retrospect,回顾,retro-=backward，往回看；in ~ 回顾过去（作状语）
introspect,自省，反省,intro-向里，深入去看你的内心——反省
despise,鄙视,往下看
despicable,可鄙的,despise 变化，able-能鄙视的
speculate,推测，猜测，投机,看准了进入，~ in sth
perspire,出汗,spire=to breathe（spirit精神）；源自 pore 毛孔
spirit,精神,能有气spire=to breathe的感觉
aspire,渴望,~ to sth；a-加强，加强呼吸一口，极其渴望
expire,到期，死亡,n. expiration；ex-外，把气spire吐完了
respire,呼吸,re-加强/再一次，spire-呼吸
respiration,呼吸,artifical ~ 人工呼吸
conspire,串通一气，勾结；共同导致,con-一起，spire-呼吸，一起喘气
suspire,叹气,sus-sub-往下呼吸
transpire,（事件，秘密）泄露,trans-从一边到另外一边，把这个气吹到另一边了
pertinacious,固执的,per-through，ten-tain=keep；一直固执的
tenacious,固执的，坚定的,ten-tain-keep+acious多；保持自己观点过多的，不接受别人的观点
tenable,观点能站得住脚的,able-能，ten-keep，能保持得住
tenet,信条，原则,et/let/ette表示“小的“名词后缀，保持在内心的小东西，一直坚持ten保持的小东西
tenant,房客,保持房屋使用权的，联想：ant蚂蚁四处搬家的人
tenor,男高音，主旨,
sustenance,维持，粮食,维持ten你生命的东西
countenance,支持，面容，表情,contain包含，coun是con的变形，包含你内心的表现
stubborn,固执的（贬义）,born-生，天生固执，st-不动，不动摇，生来就不爱动的
mulish,固执,mull像驴一样的感觉
obdurate,固执的,ob-加强，dur-表示last持续（联想during），一直持续是固执的
obstinate,固执的,stin-stand，ob-to，站着不动摇——坚持——固执
bigoted,（政治，宗教上的）固执的,bi-二，got-得到，两个东西都要得到才行的，然而鱼和熊掌不可兼得
petition,请愿,"词根pet=to seek, “寻求解决办法的行动”->情愿；联想：宠物pet，替宠物请愿"
propitiate,安慰，抚慰，安抚,让人向前寻求是安慰；联想：pro+piti(pity)，安慰可怜人
propitious,吉祥的,
impetus,动力，刺激性因素,im-to+pet+us
centripetal force,向心力,
beseech,恳求,be+seek(besought)
implore,哀求,im-表加强，plore-表示cry
entreat,恳求,加强请客，请人吃饭就是恳求人办事
plead,请求,plead with sb to do sth；源：please
importune,再三请求,再三请求进港，import进口
petrify,石头化，惊呆,"petr-rock, petroleum"
petrology,岩石学,petr-rock
philanthropic,博爱的,phile-love 爱人类 authrop-people
philanthropy,慈善，博爱,phile-love 爱人类
philanthropist,慈善家,phile-love 爱人类
zoophilous,爱动物的,phile-love 爱人类
bibliophile,爱书的,bibli=Bible=book
placate,安抚,plac-please；使人心满意足——安抚
placid,内心平静的,plac-please
placebo,安慰剂,plac-please
irritant,刺激物,联想，针对这个病状irr-ill打一针就可以刺激走路it了
appease,平息，抚慰，姑息,联想：ap-加强+pease-和平
pacify,使平静，安抚,
plagiarize,剽窃，抄袭,arise表示出现，plag-plic-表示叠加，到处抄叠加到一起发表；联想：p漂l亮 gia 假的东西出现
plagiarism,剽窃,
imitate,强调“模仿”（认为是正确的而模仿）,it-走，im-to跟着一个人走——模仿
emulate,（由于喜爱而模仿）仿效，模仿，仿真,用电驴（e-mule）下载下来模仿
supplement,增加，补充，增刊,加强 supply
implement,大型工具，贯彻，实施,complete->完成
replete,充满的,be ~ with 充满 = be full of = be filled with
ploy,策略，工作,ply-fold
plot,情节，阴谋,
deploy,展开，部署,de-off+ploy 不折叠 —— 展开，部署
precipitate,猛抛，使陷入，加速，促成，鲁莽的,源自precipice 悬崖；precipitous 陡峭的
precipitation,降水量,rain fall 加速，鲁莽
precocious,早熟的,同 premature；pre-表示早，coc-/coct=cook，表示成熟，“先烹调好的”->早熟的
concoct,调制,放在一起con烹调coct=cook，编造
concoction,调制品,concoction变体
predicament,困境,dic/dict=to speak，说，先说话的人往往会陷入比较被动的境地
valediction,告别辞,farewell，vale=well，说一些美好的话
indict,起诉，指控,~=sue/indict sb for sth；说进监狱
verdict,判决,ver-true 真实的宣判 -> 判决
edict,法令，布告,e-向外说
abdicate,放弃（权利），退位,ab-away，宣布dic离开
vindicate,辩护，辩解；证明……的清白,vin-=win，说赢了——辩护
vindictive,报复性的，恶毒的,辩护的时候说的话是报复性的，恶毒的
quandary,窘境，困境,ary名词结尾人或地点，quarter-四，四面楚歌
plight,困境,p扑灭light——陷入困境
penchant,嗜好，喜好,[反]dislike；chant 表示圣歌，赞歌，爱好唱歌
predilection,爱好，偏好，偏爱,"词根 lect- 表示选择，pre+di-apart+lect""分开的东西选择其中的一个""->倾向"
inclination,倾向,
predominant,卓越的，支配的，主要的，占主导地位,pre+dominate（主导），词根 dom=1rule（统治）;2house(可通过kingdom记住)
dominate,支配，控制,dom+in，在内部统治
domicile,家,dom+cile，小家统治
domain,领土，版图，领域，区间,
domineering,霸道的，飞扬跋扈的,联想：在自己领域domin的工程师eer很霸道
domesticate,驯服，驯养（domestic）,联想：在领域dom内让别人听话站着st不动
domestic,国内的,
premonition,前兆，预感（对不好事情的预感）,moni=warn 警告 monitor（班长，起警告作用），在之前有所预警 —— 预感
omen,凶兆,
admonish,警告,ad-to，加强ad警告moni还是警告
summon,法庭的传唤，召唤，召集,sum-总计，moni-警告
presentiment,预感,"pre表示之前，""之前的感觉""->预感"
foreboding,预感,联想：fore之前所预报bao的
presumptuous,专横的，放肆无礼的,词根 sumpt/sume=to take，先拿走了 —— 专横放肆无礼的
resume,恢复，重新开始，简历,
assume,假设，推测，承担，假装,主观的推测
presume,假设,客观的推测
sumptuous,奢侈的,什么都买，什么（ous充满了）都拿sumpt
sumptuary,节约的，节俭的,与 sumptuous 对比
conceited,自以为是的,联想：自己撤ce了还以为别人会跟着con走it
prodigal,浪费的，挥霍的,~ with；[同]lavish，profuse；串记：天才prodigy造成巨大的浪费
prodigy,天才,ig/ag=act 最先行事的人
prodigious,惊人的，巨大的,大家都会对天才prodigy感觉很惊讶
proliferate,激增，繁殖,pro+life，产生生命——繁殖；nuclear proliferation 核扩散
prolific,多产的,激增的pro+life
multiply,乘法，激增，繁殖,
propagation,繁殖，传播,propagate 变体
propagate,繁殖,门前有（pag-pig）猪是繁殖；（光、声的）传播
promulgate,宣传,门前有驴（mule）是宣传
irrigate,灌溉,门前有花是灌溉
irritate,激怒,灌溉变踢t是激怒
subjugate,镇压，征服,压在门下sub是镇压
mitigate,减轻,mit-送到门口是减轻
profligate,挥霍的（人）,飞fli到门前pro去挥霍
instigate,煽动，发起,站sti在门里是煽动
propensity,倾向,pens/pend 表示1重量；2费用；3悬挂；
suspend,悬挂，中止，休学,挂pend在下面sus-sub
suspension,暂停,
impend,即将发生的，迫在眉睫的,挂pend在心里in即将发生；impending disaster
append,增加，附加,pens/pend 第3意思悬挂；
appendix,附录，烂尾,pens/pend 第3意思悬挂；
pension,养老金,pens - 第2意思费用
pensive,悲伤的，沉思的,人心情重，pens - 第1意思重量；联想 pension 养老金就很悲伤
ponder,仔细思考，沉思,不及物动词，接 over，反复掂量是沉思，-er 表反复；pound 磅；pond-pound + er 表示动作的重复，反复掂量重量
ponderous,笨重的,
preponderant,占主导的，占优势的,在最前面pre占有很重要pond比例的
compensate,弥补，补偿,一起com给你一些费用pens是补偿
perpendicular,垂直,pend - 第3意思悬挂
vertical,垂直的,
prophet,预言家,pro-before + phe-phon-sound
prophecy,n. 预言,pro-before + phe-phon-sound
prophesy,v. 预言,pro-before + phe-phon-sound
prosaic,单调的，无趣的，散文的,来自prose散文 -> 散文的特点没有冲突，单调
prose,散文,p+rose玫瑰
pseudonym,假名，笔名,"nom/nym=name，pseudo表示假的，""ps的照片是假的"""
anonymity,匿名,a-一个+no没有+nym名字+ity
anonymous,匿名的,~ letter 匿名信
autonomy,自治，自治权，人身自由，自主权,auto-自己有名nom=name，autonomous area/agion 自治区
denominate,命名,de-to，加强de有名字nom是命名
ignominy,耻辱,ignominious 耻辱的；ig-in-not，如 ignore；没有ig名誉nom —— 耻辱
nominate,提名,在内部in有一个名单
pseudoscience,伪科学,pseudo假
pseudomyopia,假性近视,pseudo假myopia近视眼
pugnacious,好斗的,-acious表示多，pugn-fight，“打得多”->好斗的；联想：pugn->啪一下打过去
repugnant,敌对的，令人讨厌的,re-back+pugn-fight，反过来打自己——敌对
impugn,抨击谴责,im-加强pugn打击，言辞上的打击
champion,支持、冠军,拿冠军了大家肯定都支持你
rebel,叛变，造反，叛徒，叛党,bell-=fight，b字母开头的词往往和击打有关；re-相反，反过来打bell —— 叛变
rebellious,叛变的，桀骜不驯的,rebel 变体
bellicose,好斗的,-ose如果是形容词结尾=-acious=多，打仗bell打得多则是好斗的
belligerent,交战的，战争中的,ger=fer=carry 带来了战争bell的
puissance,权力，权势,源自 power；pow-pui+ss 无意义 + ance
impuissance,无力，虚弱,im-否定+puissance
clout,权力,联想：cloud，像乌云遮天一样一手遮天——势力，权势
2022-07-26 学习,,
punctilious,谨小慎微的，一丝不苟的,punc--prick 扎，（源自：puncture）；扎针肯定得小心谨慎的
compunction,后悔,内心一种刺痛感 —— 后悔
pungent,辛辣的，刺激的，泼辣,punc-pung，刺有关，刺激的
expunge,删除,~=expurgate；把刺向外拔出来
poignant,辛辣的，刺激的,联想，point，点/尖->刺
quail,感到恐惧，畏缩，害怕，鹌鹑,联想 quiet，被镇压的都安静了下来，是因为感觉到了恐怖
quell,镇压,quiet，镇压之后的状态
squelch,压制，制止,
rail,铁轨，栏杆，谴责，痛骂,有些国家火车票都买不到，所以提到的时候就痛骂
bail,保释金，保释,联想：jail 监狱
quaver,颤抖,来自quake颤抖（earthquake）
quiver,颤抖,quaver 变形
shiver,颤抖,连续的抖
shudder,颤抖，战栗,抖一次，打了一个冷战，联系 shoulder 肩膀一抖；~ at sb/sth，对 …… 感到不寒而栗
querulous,鸣不平的，发牢骚的,来自 quarrel，充满了争吵的
quirk,怪癖,来自 queer
queer,奇怪的，同性恋的,带有贬义色彩
quaint,奇怪的，古香古色的,联想：quai->guai怪
eccentric,怪癖的；怪人；偏心,-ic--adj形容词后缀，ec=ex，“脱离中心、不合群”
bizarre,奇怪的=weird,奇怪的集市（bazaar），bi开头是奇怪
bazaar,集市，慈善义卖,奇怪（bizarre）的集市，ba开头是集市
quisling,卖国贼,quit-退出自己的国籍的人是卖国贼
rally,集会，集合,re+ally 联盟，再一次所有人都在一起了
rampage,乱闹，暴跳，发怒,联想 ram，或者联想成到处 run 的
ramp,斜坡，乱冲乱撞，暴跳如雷，坡,"联想 ram；same as ""list"" or ""shelve""，通往 camp 的斜坡"
rampant,猖獗的，狂暴的,联想 ram
rankle,激怒，irritate，使人怨恨,re+ank=anger，-le表示动作的反复，反复让一个人生气，则为激怒；联想：rank ，来回排名引起众怒
rancor,怨恨，仇恨,联想：rankle
goodwill,友好，好意,
rant,咆哮，严重的批评,谐音：嚷他——咆哮，严厉批评
rapacious,贪财的，贪婪的,"rap/rav- = to snatch 抢夺/吸引注意力（rapid,rap），“抢得多”->贪婪"
rape,强奸,
rapture,入迷，狂喜,rap-抓住一个人注意力
enrapture,使入迷，使狂喜,rap-抓住一个人注意力
ravish,迷住，抢夺,rav=rap
ravishing,引人入胜的,rav=rap
ravenous,饿极的，贪婪的,so starving，rav=rap
ravage,抢夺，破坏,age往往表示动作的结果，rav=rap
bereave,剥夺，使丧失亲属,~ sb of sth；rap变形成rea;a bereaved mother，失去孩子的母亲
bereft,失去……的,联想：be+left；~ of sth；be ~ of confidence/meaning
ratiocination,推理，推论,"rat/ratio=reason,right（权力，正确，经过推理的东西基本都是正确的）；"
rational,合理的，理性的,
irrational,不理性的,ir-否定
ratio,比率，比例,
ration,（按额分配）配给量，配给,
quota,定额，限额，配额，任务额,
ratify,批准,-ify动词后缀，right+ify——使有权力——批准，授权
